dataset,metric,value
bioasq,corpus,49513
bioasq,dev,5049
bioasq,eval,340
primekg,nodes,129375
primekg,edges,8100498
primekgqa,train,51220
primekgqa,val,17074
primekgqa,test,17074
bioasq_corpus,text_chars_mean,1446.01
bioasq_corpus,text_chars_p95,2306
bioasq_corpus,empty_text,0
bioasq_corpus,missing_title,0
bioasq_corpus,missing_doi,15825
bioasq_dev,question_chars_mean,57.26
bioasq_dev,answer_chars_mean,251.51
bioasq_dev,gold_passage_id_coverage,0.999213
bioasq_dev,snippet_chars_mean,202.89
bioasq_dev,empty_answers,0
bioasq_eval,question_chars_mean,65.39
bioasq_eval,answer_chars_mean,249.27
bioasq_eval,gold_passage_id_coverage,0.99985
bioasq_eval,snippet_chars_mean,299.68
bioasq_eval,empty_answers,0
primekg,degree_median,8
primekg,degree_p95,412
primekg,degree_max,34710
primekg,duplicate_normalized_names,826
primekg,missing_edge_endpoints,0
primekgqa_train,missing_natural_language_question,3905
primekgqa_val,missing_natural_language_question,1229
primekgqa_test,missing_natural_language_question,1260
primekgqa,exact_question_overlap_train_val,2236
primekgqa,exact_question_overlap_train_test,2240
primekgqa,exact_question_overlap_val_test,1466
